t,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,Y,X,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type,trajectory_id
854267000000,12813,854267000000,wamv5/gps_wamv_link,0,0,-33.7242236853,150.673693637,-0.0815586512737,0,0,0,0,0,0,0,0,0,2,5
854333000000,12814,854333000000,wamv5/gps_wamv_link,0,0,-33.7242237498,150.673693627,-0.0963825442269,0,0,0,0,0,0,0,0,0,2,5
854400000000,12815,854400000000,wamv5/gps_wamv_link,0,0,-33.724223813,150.673693615,-0.115943382426,0,0,0,0,0,0,0,0,0,2,5
854467000000,12816,854467000000,wamv5/gps_wamv_link,0,0,-33.7242238711,150.673693594,-0.131634669589,0,0,0,0,0,0,0,0,0,2,5
854533000000,12817,854533000000,wamv5/gps_wamv_link,0,0,-33.7242239225,150.67369356,-0.137587808259,0,0,0,0,0,0,0,0,0,2,5
854600000000,12818,854600000000,wamv5/gps_wamv_link,0,0,-33.7242239702,150.673693513,-0.133624913604,0,0,0,0,0,0,0,0,0,2,5
854667000000,12819,854667000000,wamv5/gps_wamv_link,0,0,-33.724224016,150.673693457,-0.124392562255,0,0,0,0,0,0,0,0,0,2,5
854733000000,12820,854733000000,wamv5/gps_wamv_link,0,0,-33.7242240601,150.6736934,-0.116843724337,0,0,0,0,0,0,0,0,0,2,5
854800000000,12821,854800000000,wamv5/gps_wamv_link,0,0,-33.724224102,150.673693347,-0.115912360941,0,0,0,0,0,0,0,0,0,2,5
854867000000,12822,854867000000,wamv5/gps_wamv_link,0,0,-33.7242241382,150.673693302,-0.123167625423,0,0,0,0,0,0,0,0,0,2,5
854933000000,12823,854933000000,wamv5/gps_wamv_link,0,0,-33.7242241663,150.673693263,-0.13590138473,0,0,0,0,0,0,0,0,0,2,5
855000000000,12824,855000000000,wamv5/gps_wamv_link,0,0,-33.72422419,150.673693225,-0.149583625098,0,0,0,0,0,0,0,0,0,2,5
855067000000,12825,855067000000,wamv5/gps_wamv_link,0,0,-33.7242242119,150.673693184,-0.158980079423,0,0,0,0,0,0,0,0,0,2,5
855133000000,12826,855133000000,wamv5/gps_wamv_link,0,0,-33.7242242354,150.673693134,-0.161427185969,0,0,0,0,0,0,0,0,0,2,5
855200000000,12827,855200000000,wamv5/gps_wamv_link,0,0,-33.724224263,150.673693071,-0.157915373275,0,0,0,0,0,0,0,0,0,2,5
855267000000,12828,855267000000,wamv5/gps_wamv_link,0,0,-33.7242242939,150.673692996,-0.1521165451,0,0,0,0,0,0,0,0,0,2,5
855333000000,12829,855333000000,wamv5/gps_wamv_link,0,0,-33.724224325,150.673692914,-0.148454805566,0,0,0,0,0,0,0,0,0,2,5
855400000000,12830,855400000000,wamv5/gps_wamv_link,0,0,-33.7242243555,150.673692829,-0.149558851944,0,0,0,0,0,0,0,0,0,2,5
855467000000,12831,855467000000,wamv5/gps_wamv_link,0,0,-33.7242243849,150.673692747,-0.155502119367,0,0,0,0,0,0,0,0,0,2,5
855533000000,12832,855533000000,wamv5/gps_wamv_link,0,0,-33.7242244151,150.673692671,-0.163641688684,0,0,0,0,0,0,0,0,0,2,5
855600000000,12833,855600000000,wamv5/gps_wamv_link,0,0,-33.7242244502,150.6736926,-0.170624860679,0,0,0,0,0,0,0,0,0,2,5
855667000000,12834,855667000000,wamv5/gps_wamv_link,0,0,-33.7242244917,150.673692532,-0.173353619614,0,0,0,0,0,0,0,0,0,2,5
855733000000,12835,855733000000,wamv5/gps_wamv_link,0,0,-33.7242245383,150.673692466,-0.170966933243,0,0,0,0,0,0,0,0,0,2,5
855800000000,12836,855800000000,wamv5/gps_wamv_link,0,0,-33.7242245893,150.673692394,-0.16478381153,0,0,0,0,0,0,0,0,0,2,5
855867000000,12837,855867000000,wamv5/gps_wamv_link,0,0,-33.7242246409,150.673692315,-0.15767917122,0,0,0,0,0,0,0,0,0,2,5
855933000000,12838,855933000000,wamv5/gps_wamv_link,0,0,-33.7242246913,150.673692229,-0.152560940334,0,0,0,0,0,0,0,0,0,2,5
856000000000,12839,856000000000,wamv5/gps_wamv_link,0,0,-33.7242247446,150.673692137,-0.150778220485,0,0,0,0,0,0,0,0,0,2,5
856067000000,12840,856067000000,wamv5/gps_wamv_link,0,0,-33.7242248014,150.673692041,-0.152058073472,0,0,0,0,0,0,0,0,0,2,5
856133000000,12841,856133000000,wamv5/gps_wamv_link,0,0,-33.7242248602,150.673691948,-0.154435834537,0,0,0,0,0,0,0,0,0,2,5
